t strain*1e23
-0.20502 11.2
-0.20477 10.8
-0.20453 10.5
-0.20428 10.1
-0.20404 9.7
-0.2038 9.3
-0.20355 8.8
-0.20331 8.4
-0.20306 7.9
-0.20282 7.5
-0.20258 7.0
-0.20233 6.5
-0.20209 6.0
-0.20184 5.4
-0.2016 4.9
-0.20135 4.4
-0.20111 3.8
-0.20087 3.3
-0.20062 2.7
-0.20038 2.2
-0.20013 1.6
-0.19989 1.0
-0.19965 0.5
-0.1994 -0.1
-0.19916 -0.7
-0.19891 -1.3
-0.19867 -1.8
-0.19843 -2.4
-0.19818 -3.0
-0.19794 -3.5
-0.19769 -4.1
-0.19745 -4.6
-0.1972 -5.2
-0.19696 -5.7
-0.19672 -6.2
-0.19647 -6.7
-0.19623 -7.2
-0.19598 -7.7
-0.19574 -8.2
-0.1955 -8.7
-0.19525 -9.1
-0.19501 -9.6
-0.19476 -10.0
-0.19452 -10.4
-0.19427 -10.8
-0.19403 -11.2
-0.19379 -11.5
-0.19354 -11.9
-0.1933 -12.2
-0.19305 -12.5
-0.19281 -12.7
-0.19257 -13.0
-0.19232 -13.2
-0.19208 -13.4
-0.19183 -13.6
-0.19159 -13.8
-0.19135 -13.9
-0.1911 -14.1
-0.19086 -14.2
-0.19061 -14.2
-0.19037 -14.3
-0.19012 -14.3
-0.18988 -14.3
-0.18964 -14.3
-0.18939 -14.2
-0.18915 -14.2
-0.1889 -14.1
-0.18866 -13.9
-0.18842 -13.8
-0.18817 -13.6
-0.18793 -13.4
-0.18768 -13.2
-0.18744 -13.0
-0.18719 -12.7
-0.18695 -12.4
-0.18671 -12.1
-0.18646 -11.8
-0.18622 -11.5
-0.18597 -11.1
-0.18573 -10.7
-0.18549 -10.3
-0.18524 -9.9
-0.185 -9.4
-0.18475 -9.0
-0.18451 -8.5
-0.18427 -8.0
-0.18402 -7.5
-0.18378 -7.0
-0.18353 -6.5
-0.18329 -5.9
-0.18304 -5.4
-0.1828 -4.8
-0.18256 -4.3
-0.18231 -3.7
-0.18207 -3.1
-0.18182 -2.5
-0.18158 -1.9
-0.18134 -1.3
-0.18109 -0.7
-0.18085 -0.1
-0.1806 0.5
-0.18036 1.1
-0.18011 1.7
-0.17987 2.3
-0.17963 2.9
-0.17938 3.5
-0.17914 4.1
-0.17889 4.7
-0.17865 5.2
-0.17841 5.8
-0.17816 6.4
-0.17792 6.9
-0.17767 7.4
-0.17743 8.0
-0.17719 8.5
-0.17694 9.0
-0.1767 9.4
-0.17645 9.9
-0.17621 10.3
-0.17596 10.8
-0.17572 11.2
-0.17548 11.6
-0.17523 11.9
-0.17499 12.3
-0.17474 12.6
-0.1745 12.9
-0.17426 13.2
-0.17401 13.4
-0.17377 13.7
-0.17352 13.9
-0.17328 14.1
-0.17303 14.2
-0.17279 14.4
-0.17255 14.5
-0.1723 14.5
-0.17206 14.6
-0.17181 14.6
-0.17157 14.6
-0.17133 14.6
-0.17108 14.6
-0.17084 14.5
-0.17059 14.4
-0.17035 14.2
-0.1701 14.1
-0.16986 13.9
-0.16962 13.7
-0.16937 13.5
-0.16913 13.2
-0.16888 12.9
-0.16864 12.6
-0.1684 12.3
-0.16815 11.9
-0.16791 11.6
-0.16766 11.2
-0.16742 10.7
-0.16718 10.3
-0.16693 9.8
-0.16669 9.4
-0.16644 8.9
-0.1662 8.4
-0.16595 7.8
-0.16571 7.3
-0.16547 6.7
-0.16522 6.2
-0.16498 5.6
-0.16473 5.0
-0.16449 4.4
-0.16425 3.8
-0.164 3.2
-0.16376 2.5
-0.16351 1.9
-0.16327 1.3
-0.16302 0.6
-0.16278 0.0
-0.16254 -0.6
-0.16229 -1.3
-0.16205 -1.9
-0.1618 -2.6
-0.16156 -3.2
-0.16132 -3.8
-0.16107 -4.4
-0.16083 -5.1
-0.16058 -5.7
-0.16034 -6.3
-0.1601 -6.8
-0.15985 -7.4
-0.15961 -8.0
-0.15936 -8.5
-0.15912 -9.0
-0.15887 -9.5
-0.15863 -10.0
-0.15839 -10.5
-0.15814 -11.0
-0.1579 -11.4
-0.15765 -11.8
-0.15741 -12.2
-0.15717 -12.6
-0.15692 -12.9
-0.15668 -13.2
-0.15643 -13.5
-0.15619 -13.8
-0.15594 -14.0
-0.1557 -14.3
-0.15546 -14.4
-0.15521 -14.6
-0.15497 -14.7
-0.15472 -14.8
-0.15448 -14.9
-0.15424 -15.0
-0.15399 -15.0
-0.15375 -15.0
-0.1535 -14.9
-0.15326 -14.9
-0.15302 -14.8
-0.15277 -14.6
-0.15253 -14.5
-0.15228 -14.3
-0.15204 -14.1
-0.15179 -13.8
-0.15155 -13.6
-0.15131 -13.3
-0.15106 -12.9
-0.15082 -12.6
-0.15057 -12.2
-0.15033 -11.8
-0.15009 -11.4
-0.14984 -11.0
-0.1496 -10.5
-0.14935 -10.0
-0.14911 -9.5
-0.14886 -9.0
-0.14862 -8.4
-0.14838 -7.8
-0.14813 -7.3
-0.14789 -6.7
-0.14764 -6.0
-0.1474 -5.4
-0.14716 -4.8
-0.14691 -4.1
-0.14667 -3.5
-0.14642 -2.8
-0.14618 -2.2
-0.14594 -1.5
-0.14569 -0.8
-0.14545 -0.1
-0.1452 0.6
-0.14496 1.3
-0.14471 1.9
-0.14447 2.6
-0.14423 3.3
-0.14398 4.0
-0.14374 4.6
-0.14349 5.3
-0.14325 5.9
-0.14301 6.5
-0.14276 7.2
-0.14252 7.8
-0.14227 8.4
-0.14203 8.9
-0.14178 9.5
-0.14154 10.0
-0.1413 10.5
-0.14105 11.0
-0.14081 11.5
-0.14056 12.0
-0.14032 12.4
-0.14008 12.8
-0.13983 13.2
-0.13959 13.5
-0.13934 13.8
-0.1391 14.1
-0.13885 14.4
-0.13861 14.6
-0.13837 14.8
-0.13812 15.0
-0.13788 15.1
-0.13763 15.2
-0.13739 15.3
-0.13715 15.4
-0.1369 15.4
-0.13666 15.4
-0.13641 15.3
-0.13617 15.2
-0.13593 15.1
-0.13568 15.0
-0.13544 14.8
-0.13519 14.6
-0.13495 14.3
-0.1347 14.1
-0.13446 13.8
-0.13422 13.4
-0.13397 13.1
-0.13373 12.7
-0.13348 12.2
-0.13324 11.8
-0.133 11.3
-0.13275 10.8
-0.13251 10.3
-0.13226 9.8
-0.13202 9.2
-0.13177 8.6
-0.13153 8.0
-0.13129 7.4
-0.13104 6.7
-0.1308 6.1
-0.13055 5.4
-0.13031 4.7
-0.13007 4.0
-0.12982 3.3
-0.12958 2.6
-0.12933 1.9
-0.12909 1.2
-0.12885 0.4
-0.1286 -0.3
-0.12836 -1.0
-0.12811 -1.8
-0.12787 -2.5
-0.12762 -3.2
-0.12738 -3.9
-0.12714 -4.7
-0.12689 -5.4
-0.12665 -6.0
-0.1264 -6.7
-0.12616 -7.4
-0.12592 -8.0
-0.12567 -8.7
-0.12543 -9.3
-0.12518 -9.9
-0.12494 -10.4
-0.12469 -11.0
-0.12445 -11.5
-0.12421 -12.0
-0.12396 -12.5
-0.12372 -12.9
-0.12347 -13.4
-0.12323 -13.7
-0.12299 -14.1
-0.12274 -14.4
-0.1225 -14.7
-0.12225 -15.0
-0.12201 -15.2
-0.12177 -15.4
-0.12152 -15.6
-0.12128 -15.7
-0.12103 -15.8
-0.12079 -15.8
-0.12054 -15.8
-0.1203 -15.8
-0.12006 -15.8
-0.11981 -15.7
-0.11957 -15.5
-0.11932 -15.4
-0.11908 -15.2
-0.11884 -14.9
-0.11859 -14.7
-0.11835 -14.3
-0.1181 -14.0
-0.11786 -13.6
-0.11761 -13.2
-0.11737 -12.8
-0.11713 -12.3
-0.11688 -11.8
-0.11664 -11.3
-0.11639 -10.7
-0.11615 -10.1
-0.11591 -9.5
-0.11566 -8.9
-0.11542 -8.2
-0.11517 -7.6
-0.11493 -6.9
-0.11469 -6.2
-0.11444 -5.4
-0.1142 -4.7
-0.11395 -4.0
-0.11371 -3.2
-0.11346 -2.4
-0.11322 -1.6
-0.11298 -0.9
-0.11273 0.0
-0.11249 0.7
-0.11224 1.5
-0.112 2.3
-0.11176 3.1
-0.11151 3.9
-0.11127 4.6
-0.11102 5.4
-0.11078 6.1
-0.11053 6.9
-0.11029 7.6
-0.11005 8.3
-0.1098 9.0
-0.10956 9.6
-0.10931 10.3
-0.10907 10.9
-0.10883 11.5
-0.10858 12.0
-0.10834 12.6
-0.10809 13.1
-0.10785 13.5
-0.1076 14.0
-0.10736 14.4
-0.10712 14.8
-0.10687 15.1
-0.10663 15.4
-0.10638 15.6
-0.10614 15.9
-0.1059 16.0
-0.10565 16.2
-0.10541 16.3
-0.10516 16.3
-0.10492 16.4
-0.10468 16.3
-0.10443 16.3
-0.10419 16.2
-0.10394 16.0
-0.1037 15.8
-0.10345 15.6
-0.10321 15.3
-0.10297 15.0
-0.10272 14.7
-0.10248 14.3
-0.10223 13.8
-0.10199 13.4
-0.10175 12.9
-0.1015 12.4
-0.10126 11.8
-0.10101 11.2
-0.10077 10.6
-0.10052 9.9
-0.10028 9.2
-0.10004 8.5
-0.09979 7.8
-0.09955 7.0
-0.0993 6.3
-0.09906 5.5
-0.09882 4.7
-0.09857 3.8
-0.09833 3.0
-0.09808 2.2
-0.09784 1.3
-0.0976 0.5
-0.09735 -0.4
