t strain*1e23
-0.73809 -9.6
-0.73784 -9.5
-0.7376 -9.4
-0.73735 -9.2
-0.73711 -9.1
-0.73687 -8.9
-0.73662 -8.7
-0.73638 -8.5
-0.73613 -8.3
-0.73589 -8.0
-0.73565 -7.8
-0.7354 -7.5
-0.73516 -7.2
-0.73491 -6.9
-0.73467 -6.5
-0.73442 -6.2
-0.73418 -5.8
-0.73394 -5.5
-0.73369 -5.1
-0.73345 -4.7
-0.7332 -4.3
-0.73296 -3.9
-0.73272 -3.5
-0.73247 -3.0
-0.73223 -2.6
-0.73198 -2.2
-0.73174 -1.7
-0.73149 -1.3
-0.73125 -0.8
-0.73101 -0.4
-0.73076 0.0
-0.73052 0.5
-0.73027 1.0
-0.73003 1.4
-0.72979 1.9
-0.72954 2.3
-0.7293 2.8
-0.72905 3.2
-0.72881 3.6
-0.72857 4.0
-0.72832 4.4
-0.72808 4.8
-0.72783 5.2
-0.72759 5.6
-0.72734 6.0
-0.7271 6.3
-0.72686 6.7
-0.72661 7.0
-0.72637 7.3
-0.72612 7.6
-0.72588 7.9
-0.72564 8.2
-0.72539 8.4
-0.72515 8.6
-0.7249 8.8
-0.72466 9.0
-0.72441 9.2
-0.72417 9.3
-0.72393 9.5
-0.72368 9.6
-0.72344 9.7
-0.72319 9.7
-0.72295 9.8
-0.72271 9.8
-0.72246 9.8
-0.72222 9.8
-0.72197 9.8
-0.72173 9.7
-0.72149 9.6
-0.72124 9.5
-0.721 9.4
-0.72075 9.3
-0.72051 9.1
-0.72026 8.9
-0.72002 8.8
-0.71978 8.5
-0.71953 8.3
-0.71929 8.0
-0.71904 7.8
-0.7188 7.5
-0.71856 7.2
-0.71831 6.9
-0.71807 6.5
-0.71782 6.2
-0.71758 5.8
-0.71733 5.4
-0.71709 5.0
-0.71685 4.7
-0.7166 4.2
-0.71636 3.8
-0.71611 3.4
-0.71587 3.0
-0.71563 2.5
-0.71538 2.1
-0.71514 1.6
-0.71489 1.2
-0.71465 0.7
-0.71441 0.3
-0.71416 -0.2
-0.71392 -0.7
-0.71367 -1.1
-0.71343 -1.6
-0.71318 -2.0
-0.71294 -2.5
-0.7127 -2.9
-0.71245 -3.3
-0.71221 -3.8
-0.71196 -4.2
-0.71172 -4.6
-0.71148 -5.0
-0.71123 -5.4
-0.71099 -5.8
-0.71074 -6.1
-0.7105 -6.5
-0.71025 -6.8
-0.71001 -7.2
-0.70977 -7.5
-0.70952 -7.8
-0.70928 -8.0
-0.70903 -8.3
-0.70879 -8.5
-0.70855 -8.8
-0.7083 -9.0
-0.70806 -9.2
-0.70781 -9.3
-0.70757 -9.5
-0.70732 -9.6
-0.70708 -9.7
-0.70684 -9.8
-0.70659 -9.8
-0.70635 -9.9
-0.7061 -9.9
-0.70586 -9.9
-0.70562 -9.9
-0.70537 -9.8
-0.70513 -9.7
